eta2,epsilon2,omega2,N
0.009121319,-0.001993571,-0.002949055,50
0.014112339,0.003073843,0.002104273,50
0.012135325,0.001066568,0.000102633,50
0.011455082,0.000375913,-0.0005857,50
0.012650196,0.00158932,0.000624411,50
0.011292311,0.000210651,-0.000752455,50
0.011680209,0.000604486,-0.000358243,50
0.01204132,0.000971124,7.48E-06,50
0.01003072,-0.00107025,-0.002030241,50
0.011069688,-1.54E-05,-0.000976965,50
0.01010216,-0.000997717,-0.001957696,50
0.012279428,0.001212877,0.000248657,50
0.010415014,-0.000680074,-0.001640126,50
0.010801231,-0.000287945,-0.001248735,50
0.010447986,-0.000646597,-0.001607169,50
0.011889108,0.000816582,-0.000146518,50
0.012691368,0.001631122,0.000665061,50
0.016289725,0.005284556,0.00431092,50
0.010685558,-0.000405389,-0.001366528,50
0.008275413,-0.002852424,-0.003806786,50
0.008140625,-0.002989275,-0.00394345,50
0.009316383,-0.001795521,-0.002753075,50
0.012796278,0.001737637,0.000772359,50
0.009897125,-0.00120589,-0.002165268,50
0.008727579,-0.002393337,-0.003348891,50
0.011397306,0.000317253,-0.000646214,50
0.009653566,0.000429321,-0.000373623,60
0.008915111,-0.00031852,-0.001121625,60
0.005401087,-0.003877214,-0.004672487,60
0.007209156,-0.002046162,-0.00284534,60
0.008470282,-0.000769004,-0.001570704,60
0.009256573,2.73E-05,-0.000776027,60
0.006622898,-0.002639871,-0.003437298,60
0.008898679,-0.000335161,-0.001137717,60
0.007610649,-0.001639565,-0.002438924,60
0.009012854,-0.000219535,-0.001022907,60
0.007225214,-0.002029899,-0.002829519,60
0.008056941,-0.0011876,-0.001988193,60
0.006520507,-0.002743564,-0.003541465,60
0.009019342,-0.000212965,-0.001016019,60
0.007491172,-0.001760561,-0.002559716,60
0.007392001,-0.001860992,-0.002660282,60
0.008199551,-0.001043176,-0.001844102,60
0.008684971,-0.000551586,-0.001353397,60
0.00919121,-3.89E-05,-0.000841145,60
0.009039339,-0.000192713,-0.00099498,60
