N,eta2,epsilon2,omega2
40,0.055418574,0.056484316,0.056320375
50,0.048104709,0.048841006,0.048726238
60,0.0446482,0.045215762,0.045126942
70,0.041348903,0.041798348,0.041728565
80,0.040041098,0.040421235,0.040362534
90,0.03643891,0.036745979,0.036698164
100,0.034834115,0.03509801,0.035057275
10,0.109304406,0.118413107,0.117026142
20,0.076675235,0.079701889,0.079239267
30,0.063707285,0.065354887,0.065105042
40,0.055953342,0.057029368,0.056863027
50,0.049362128,0.050117671,0.050000255
60,0.045860264,0.046443233,0.046352309
70,0.041400701,0.041850709,0.041780811
80,0.039282607,0.039655543,0.039597665
90,0.037723338,0.038041231,0.037992563
100,0.034705732,0.034968654,0.034927442
10,0.108698133,0.117756311,0.116368629
20,0.081034186,0.084232904,0.083732134
30,0.063348715,0.064987044,0.064733862
40,0.053738796,0.054772234,0.054614657
50,0.047343787,0.048068437,0.047957456
60,0.045847186,0.046429989,0.04634015
70,0.042230958,0.04268999,0.042618771
80,0.03945798,0.039832581,0.03977383
90,0.036283613,0.036589374,0.036541778
100,0.035637825,0.035907808,0.035865187
10,0.112005155,0.121338918,0.119947088
20,0.078409305,0.081504409,0.081030534
30,0.063810491,0.065460762,0.065204183
40,0.054487046,0.055534874,0.055372092
50,0.050198014,0.050966351,0.050846259
60,0.045368475,0.045945193,0.04585601
70,0.04209043,0.042547934,0.042476734
80,0.038972197,0.039342186,0.039284747
90,0.036864002,0.037174654,0.03712686
100,0.033870244,0.034126837,0.034086774
10,0.105181132,0.113946226,0.112578718
20,0.077568947,0.080630879,0.080165274
30,0.064463216,0.066130368,0.065876857
40,0.055637437,0.056707387,0.056541088
50,0.049358312,0.050113797,0.049995857
60,0.044717739,0.045286185,0.045197304
70,0.04109996,0.041546699,0.041477831
80,0.038974509,0.03934452,0.039286623
90,0.037109335,0.037422054,0.037373335
100,0.034380317,0.034640774,0.034600288
10,0.105292953,0.114067366,0.112747164
20,0.078246844,0.081335535,0.080856772
30,0.063255103,0.064891011,0.064635379
40,0.055584718,0.056653655,0.056485928
50,0.048397601,0.049138381,0.049023558
60,0.043318597,0.043869257,0.043783906
70,0.043021436,0.043489061,0.043417047
80,0.03929977,0.039672869,0.039614713
90,0.036128217,0.036432668,0.036385257
100,0.033896876,0.03415367,0.034114064
10,0.107500605,0.116458989,0.11504979
20,0.079932676,0.083087914,0.082599207
30,0.062812029,0.064436478,0.064187346
40,0.052735413,0.053749555,0.053591439
50,0.049620662,0.050380162,0.050262414
60,0.046894129,0.047490241,0.047398282
70,0.041117313,0.04156424,0.041494749
80,0.04100332,0.041392592,0.041331278
90,0.037012015,0.037323914,0.037275084
100,0.035648955,0.035919022,0.035876758
10,0.114122664,0.123632886,0.122150677
20,0.079948127,0.083103974,0.082616908
30,0.065768749,0.067469665,0.067205455
40,0.054791996,0.055845688,0.055678855
50,0.052074217,0.052871271,0.052749728
60,0.044450604,0.045015654,0.044926845
70,0.042077439,0.042534802,0.042463384
80,0.040633357,0.041019117,0.04095998
90,0.036771652,0.037081526,0.037033263
100,0.035249145,0.035516184,0.035474753
10,0.113824526,0.123309904,0.1218704
20,0.078222741,0.081310481,0.080831174
30,0.062722939,0.064345084,0.064093964
40,0.056495284,0.057581732,0.057409556
50,0.050192256,0.050960505,0.050840759
60,0.047060325,0.04765855,0.047562742
70,0.040412883,0.040852153,0.040783565
80,0.03985431,0.040232674,0.040173262
90,0.03655153,0.036859548,0.036811547
100,0.034693952,0.034956785,0.034916488
10,0.107987171,0.116986102,0.115640093
20,0.077601835,0.080665066,0.080207726
30,0.0628798,0.064506001,0.064260387
40,0.055945393,0.057021266,0.056854297
50,0.049160825,0.049913286,0.049798808
60,0.048557713,0.049174972,0.049079355
70,0.041882117,0.042337357,0.042266321
80,0.038657306,0.039024306,0.038966139
90,0.036318583,0.036624639,0.036576833
100,0.035632857,0.035902803,0.035861431
10,0.110284591,0.119474973,0.118098705
20,0.078412769,0.08150801,0.081034224
30,0.062185125,0.063793361,0.06354599
40,0.055659535,0.05672991,0.056564593
50,0.0485701,0.04931352,0.049198948
60,0.043418452,0.043970381,0.043883702
70,0.04394434,0.044421996,0.044348415
80,0.039542724,0.039918129,0.039860205
90,0.039216313,0.039546788,0.039495156
100,0.036246354,0.036520947,0.036478265
10,0.111988949,0.121321361,0.119883569
20,0.078469844,0.081567338,0.081085997
30,0.066449052,0.068167562,0.06789868
40,0.056064221,0.057142379,0.056975782
50,0.049661689,0.050421817,0.050303477
60,0.046186176,0.046773289,0.046681615
70,0.041513733,0.041964969,0.041894737
80,0.04007071,0.040451128,0.040391617
90,0.037387284,0.037702345,0.037653186
100,0.034830596,0.035094464,0.035053164
10,0.108811455,0.117879076,0.116502084
20,0.078866093,0.081979228,0.081492355
30,0.06454819,0.066217539,0.065957766
40,0.056440659,0.057526057,0.057358083
50,0.048483733,0.049225831,0.049110761
60,0.045644518,0.046224745,0.04613563
