CUE,QSS,QCON,KF1,HAL1,LogHAL1,Subtlex1,LogSub1,Length1,POS1,Ortho1,Phono1,Phonemes1,Syllables1,Morphemes1
blame,22,2.15,34,17326,9.76,58.78,3.48,5,VB|NN,8,10,4,1,1
blanket,9,6.21,30,3814,8.25,12.98,2.82,7,NN,1,0,7,2,1
bleach,15,5.4,,1319,7.18,2.31,2.08,6,NN|VB,3,9,4,1,1
bleed,,,2,2526,7.83,10.1,2.71,5,VB,4,12,4,1,1
blend,12,,9,3255,8.09,4.27,2.34,5,NN|VB,5,7,5,1,1
blender,17,,,972,6.88,1.67,1.93,7,NN,7,6,6,2,2
blends,,,2,659,6.49,0.27,1.18,6,NN|VB,3,4,6,1,2
blinds,14,,3,702,6.55,2.14,2.04,6,NN|VB,3,4,6,1,2
blink,,,4,2056,7.63,5.06,2.41,5,VB|NN,5,4,5,1,1
blonde,15,5.02,20,6624,8.8,13.92,2.85,6,JJ|NN,1,4,5,1,1
blood,20,6.55,121,51801,10.86,186.12,3.98,5,NN,4,8,4,1,1
blouse,11,6.36,1,1685,7.43,5.33,2.44,6,NN,0,3,4,1,1
blow,23,3.88,33,16920,9.74,97.57,3.7,4,NN|VB,9,11,3,1,1
blue,14,4.49,143,89005,11.4,102.39,3.72,4,JJ|NN,6,13,3,1,1
blueberry,10,,1,318,5.76,2.57,2.12,9,NN,1,0,7,3,2
bluejay,6,5.8,,83,4.42,0.35,1.28,7,NN,0,0,5,2,2
blush,10,4.59,2,1254,7.13,2.67,2.14,5,VB|NN,4,6,4,1,1
board,21,6.87,239,79617,11.28,64.16,3.51,5,NN|VB,3,35,4,1,1
boat,16,6.33,72,15857,9.67,95.78,3.69,4,NN,11,39,3,1,1
body,31,6.58,276,116235,11.66,195.53,4,4,NN,7,25,4,2,1
boil,15,4.56,12,3837,8.25,5.94,2.48,4,VB|NN,10,32,3,1,1
boiled,11,,10,1941,7.57,3.31,2.23,6,VB,8,16,4,1,2
bolts,,,1,3106,8.04,2.18,2.05,5,NN|VB,10,9,5,1,2
bomb,17,5.91,36,15377,9.64,53.65,3.44,4,NN|VB,4,29,3,1,1
bombardment,,,1,581,6.36,0.84,1.64,11,NN,0,0,11,3,2
bone,19,5.75,33,16063,9.68,26.06,3.12,4,NN|VB,20,50,3,1,1
bonehead,,,,607,6.41,1.18,1.79,8,NN,0,0,6,2,2
book,15,6.09,193,190905,12.16,176.98,3.96,4,NN|VB,15,25,3,1,1
bookbag,12,,,,,,,7,,,,,,
bookbag,,,,,,,,7,,,,,,
bookcase,,,2,355,5.87,0.94,1.69,8,NN,0,0,6,2,2
boots,13,5.54,20,10725,9.28,19.16,2.99,5,NN|VB,19,28,4,1,2
booze,11,6,4,962,6.87,10.94,2.75,5,NN|VB,2,55,3,1,1
bore,,,24,3598,8.19,7.75,2.6,4,VB|NN,16,49,3,1,1
bored,16,3.18,14,7024,8.86,20.18,3.01,5,VB|JJ,11,35,4,1,2
boring,16,2.65,5,12707,9.45,27.41,3.15,6,JJ|NN|VB,10,17,5,2,2
borrow,12,2.26,9,4242,8.35,29.31,3.17,6,VB,4,17,4,2,1
boss,19,6.35,20,10002,9.21,124.29,3.8,4,NN|VB,22,21,3,1,1
