N,stdev,omniP,overallBF,oompcc,oomchance
10,11.5,0.948287551,0.218153384,0.433333333,1
10,11.5,0.63285016,0.312183919,0.533333333,0.651
10,11.5,0.288733493,0.591480327,0.533333333,0.754
10,11.5,0.475726323,0.421887551,0.5,0.837
10,11.5,0.993202443,0.210059143,0.466666667,0.959
10,11.5,0.429982035,0.382389771,0.466666667,0.974
10,11.5,0.150282123,0.953884898,0.533333333,0.736
10,11.5,0.748613654,0.267398449,0.5,0.868
10,11.5,0.866311259,0.237478293,0.566666667,0.525
10,11.5,0.032547853,2.561819665,0.6,0.203
10,11.5,0.698893958,0.293587817,0.633333333,0.144
10,11.5,0.409609344,0.459927086,0.566666667,0.412
10,11.5,0.291506581,0.582989779,0.533333333,0.589
10,11.5,0.102896645,1.229150227,0.666666667,0.047
10,11.5,0.707661578,0.277797335,0.533333333,0.758
10,11.5,0.026279542,3.70697414,0.533333333,0.475
10,11.5,0.647470196,0.314203935,0.6,0.244
10,11.5,0.620144676,0.326867873,0.533333333,0.697
10,11.5,0.243416625,0.677656671,0.566666667,0.328
10,11.5,0.132430832,0.943308259,0.566666667,0.517
10,11.5,0.844652212,0.242508806,0.566666667,0.448
10,11.5,0.843950484,0.236122722,0.5,0.921
10,11.5,0.949122597,0.226271145,0.466666667,0.982
10,11.5,0.986308529,0.216606124,0.533333333,0.719
10,11.5,0.19500777,0.997358227,0.5,0.89
10,11.5,0.169495203,0.79180031,0.6,0.256
10,11.5,0.50232137,0.366787793,0.466666667,0.965
10,11.5,0.86194432,0.241194848,0.533333333,0.752
10,11.5,0.082306835,1.481657697,0.533333333,0.618
10,11.5,0.291590751,0.630119016,0.6,0.241
10,11.5,0.002981469,25.18567603,0.633333333,0.096
10,11.5,0.406163115,0.442105443,0.5,0.753
10,11.5,0.159591587,0.972265322,0.633333333,0.11
10,11.5,0.602480245,0.301268289,0.533333333,0.704
10,11.5,0.563781316,0.356950119,0.533333333,0.746
10,11.5,0.078622077,2.06246201,0.6,0.217
10,11.5,0.315730795,0.588458605,0.6,0.288
10,11.5,0.865599464,0.232700175,0.466666667,0.983
10,11.5,0.531191995,0.462031266,0.6,0.163
10,11.5,0.77672706,0.257958427,0.5,0.918
10,11.5,1,0.206053565,0.5,0.903
10,11.5,0.847056135,0.241661009,0.466666667,0.94
10,11.5,0.691680187,0.298324473,0.533333333,0.633
10,11.5,0.001610376,66.93703036,0.6,0.195
10,11.5,0.982260648,0.216498376,0.533333333,0.747
10,11.5,0.160845438,0.789345767,0.6,0.259
10,11.5,0.925131945,0.229232052,0.566666667,0.507
10,11.5,0.136905977,1.114778058,0.5,0.929
10,11.5,0.170174245,0.899486711,0.566666667,0.476
10,11.5,0.197949681,0.781405075,0.5,0.87
10,11.5,0.879831455,0.244696624,0.6,0.134
10,11.5,0.058227302,3.049084171,0.566666667,0.427
10,11.5,0.941575358,0.220632018,0.5,0.852
10,11.5,0.994423806,0.209927771,0.533333333,0.685
10,11.5,0.586784334,0.33626916,0.566666667,0.528
10,11.5,0.43157116,0.426690309,0.6,0.23
10,11.5,0.348393017,0.513305413,0.533333333,0.561
10,11.5,0.933569279,0.221452999,0.533333333,0.734
10,11.5,0.089281727,1.83819456,0.533333333,0.68
10,11.5,0.783769003,0.270284452,0.5,0.851
10,11.5,0.845915761,0.241978124,0.533333333,0.696
10,11.5,0.903543067,0.228721147,0.566666667,0.537
10,11.5,0.02342627,5.937855107,0.6,0.224
10,11.5,0.96847109,0.2205189,0.466666667,0.962
10,11.5,0.612444457,0.306670354,0.6,0.262
10,11.5,0.105120196,1.450347785,0.5,0.879
10,11.5,0.72529224,0.285270849,0.466666667,0.983
10,11.5,0.983656537,0.21369864,0.4,1
10,11.5,0.505366729,0.360125951,0.5,0.891
10,11.5,0.826058255,0.25352017,0.5,0.861
10,11.5,0.695243908,0.285364183,0.566666667,0.501
10,11.5,0.043947225,3.820535645,0.6,0.207
10,11.5,0.360191468,0.465070467,0.566666667,0.542
10,11.5,0.108552598,1.448853741,0.533333333,0.586
10,11.5,0.253290991,0.723940016,0.533333333,0.565
10,11.5,0.981013227,0.227793414,0.566666667,0.447
10,11.5,0.316954687,0.504901304,0.566666667,0.429
10,11.5,0.414730237,0.406168818,0.533333333,0.711
10,11.5,0.090412144,1.615613157,0.533333333,0.535
10,11.5,0.712458508,0.272430443,0.566666667,0.459
10,11.5,0.756842964,0.274916887,0.466666667,1
10,11.5,0.095406691,1.273454563,0.6,0.259
10,11.5,0.357400988,0.524134304,0.5,0.788
10,11.5,0.00377172,39.64284653,0.666666667,0.029
10,11.5,0.133127518,1.183109269,0.533333333,0.542
10,11.5,0.789455871,0.250138703,0.533333333,0.538
10,11.5,0.253185163,0.605010933,0.5,0.846
10,11.5,0.070593804,2.456029381,0.733333333,0.003
10,11.5,0.202869561,0.841362016,0.6,0.258
10,11.5,0.189964842,0.934668122,0.533333333,0.517
10,11.5,0.457826966,0.404033784,0.533333333,0.724
10,11.5,0.412807167,0.443725681,0.466666667,0.987
10,11.5,0.464333603,0.360390627,0.533333333,0.744
10,11.5,0.286277363,0.584971212,0.566666667,0.461
10,11.5,0.129548255,1.37730686,0.566666667,0.351
